ID,Name,Author,Type,API Type,Description,Downloads,Stars,URL
1,"Search YouTube videos, channels, and playlists",0xjordansg-yolo,Skill,,"YouTube Search API via AIsa unified endpoint. Search YouTube videos, channels, and playlists with a single AIsa API key",522,0,https://clawhub.ai/0xjordansg-yolo/youtube-search-aisa
2,"Chinese LLM Models (Kimi 2.5, MiniMax 2.5, Qwen, DeepSeek) with One Key",0xjordansg-yolo,Skill,,"Configure AIsa as a first-class model provider for OpenClaw, enabling production access to major Chinese AI models",754,0,https://clawhub.ai/0xjordansg-yolo/chinese-llm-models-aisa
3,Web Search Tavily,0xjordansg-yolo,Skill,,Performs AI-optimized web searches via Tavily API,1200,0,https://clawhub.ai/0xjordansg-yolo/web-search-tavily
4,US Stock Analyst by leading AI LLM models with Bloomberg Data,0xjordansg-yolo,Skill,,"Professional US stock analysis with financial data, news, social sentiment, and multi-model AI",1300,0,https://clawhub.ai/0xjordansg-yolo/us-stock-analyst
5,Query real-time and historical financial data across equities and crypto prices,0xjordansg-yolo,Skill,,Query real-time and historical financial data across equities and crypto,1500,5,https://clawhub.ai/0xjordansg-yolo/financial-data
6,"Multi-source retrieval with confidence scoring - web, academic, and Tavily in one unified API",0xjordansg-yolo,Skill,,Intelligent search for agents. Multi-source retrieval with confidence scoring,1200,4,https://clawhub.ai/0xjordansg-yolo/multi-source-search
7,YouTube SERP Scout for agents,0xjordansg-yolo,Skill,,"YouTube SERP Scout for agents. Search top-ranking videos, channels, and trends",1500,3,https://clawhub.ai/0xjordansg-yolo/youtube-serp-scout
8,Generate images & videos with: Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video) via one API key,0xjordansg-yolo,Skill,,Generate images & videos with AIsa. Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video),2200,11,https://clawhub.ai/0xjordansg-yolo/ai-media-generation
9,One API key for real time stock equity pricing data including crypto BTC ETH etc,0xjordansg-yolo,Skill,,Query real-time and historical financial data across equities and crypto,1300,1,https://clawhub.ai/0xjordansg-yolo/stock-pricing
10,"Save upto 50% for model tokens: OpenAI GPT, Claude, Gemini, Qwen, Deepseek, Grok and more with one single key",0xjordansg-yolo,Skill,,Unified LLM Gateway - One API for 70+ AI models,1300,5,https://clawhub.ai/0xjordansg-yolo/llm-gateway
11,"One API key for 70+ AI models. Route to GPT, Claude, Gemini, Qwen, Deepseek, Grok and more",0xjordansg-yolo,Skill,,Unified LLM Gateway - One API for 70+ AI models,1400,5,https://clawhub.ai/0xjordansg-yolo/llm-gateway-v2
12,X Twitter Automataion (Search + Post),0xjordansg-yolo,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",1400,4,https://clawhub.ai/0xjordansg-yolo/twitter-automation
13,"X/Twitter Automation: 30+ APIs, OAuth Post, One Key",0xjordansg-yolo,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",3400,4,https://clawhub.ai/0xjordansg-yolo/twitter-automation-pro
14,AIsa Media Gen,AISAPAY,Skill,,Generate images & videos with AIsa. Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video),1000,1,https://clawhub.ai/aisapay/aisa-media-gen
15,AIsa Multi Source Search,AISAPAY,Skill,,Intelligent search for agents. Multi-source retrieval with confidence scoring,1500,1,https://clawhub.ai/aisapay/aisa-multi-source-search
16,AIsa Twitter API (Search + Post),AISAPAY,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",3100,4,https://clawhub.ai/aisapay/aisa-twitter-api
17,AIsa Youtube Search,AISAPAY,Skill,,"YouTube SERP Scout for agents. Search top-ranking videos, channels, and trends",1700,1,https://clawhub.ai/aisapay/aisa-youtube-search
18,AIsa Financial Data,AISAPAY,Skill,,Query real-time and historical financial data across equities and crypto,1300,0,https://clawhub.ai/aisapay/aisa-financial-data
19,Financial Data,AISAPAY,Skill,,Query real-time and historical financial data across equities and crypto,1400,0,https://clawhub.ai/aisapay/financial-data
20,Perplexity Search,bowen-dotcom,Skill,,Perplexity Sonar search and answer generation through AIsa,1000,0,https://clawhub.ai/bowen-dotcom/perplexity-search
21,AI Media Generation En,bowen-dotcom,Skill,,Generate images & videos with AIsa. Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video),750,0,https://clawhub.ai/bowen-dotcom/ai-media-generation-en
22,LLM Router Gateway,bowen-dotcom,Skill,,Unified LLM Gateway - One API for 70+ AI models,861,0,https://clawhub.ai/bowen-dotcom/llm-router-gateway
23,AI Media Generation,bowen-dotcom,Skill,,Generate images & videos with AIsa. Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video),890,4,https://clawhub.ai/bowen-dotcom/ai-media-generation
24,MarketPulse Financial Data,bowen-dotcom,Skill,,Query real-time and historical financial data across equities and crypto,945,0,https://clawhub.ai/bowen-dotcom/marketpulse-financial-data
25,"X/Twitter All-in-One: 30+ APIs, OAuth Post, One Key",bowen-dotcom,Skill,,"Searches and reads X (Twitter): profiles, timelines, mentions, followers, tweet search",1400,1,https://clawhub.ai/bowen-dotcom/twitter-all-in-one
26,YouTube SERP Scout,bowen-dotcom,Skill,,"YouTube SERP Scout for agents. Search top-ranking videos, channels, and trends",1000,0,https://clawhub.ai/bowen-dotcom/youtube-serp-scout
27,Intelligent Search Agent,bowen-dotcom,Skill,,"Intelligent search for agents. Multi-source retrieval across web, scholar, Tavily, and Perplexity",1000,1,https://clawhub.ai/bowen-dotcom/intelligent-search-agent
