ID,Name,Author,Type,API Type,Description,Downloads,Stars,URL,URLPath
1,"Search YouTube videos, channels, and playlists",0xjordansg-yolo,Skill,,"YouTube Search API via AIsa unified endpoint. Search YouTube videos, channels, and playlists with a single AIsa API key",522,0,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-youtube,0xjordansg-yolo/openclaw-aisa-youtube
2,"Chinese LLM Models (Kimi 2.5, MiniMax 2.5, Qwen, DeepSeek) with One Key",0xjordansg-yolo,Skill,,"Configure AIsa as a first-class model provider for OpenClaw, enabling production access to major Chinese AI models",754,0,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-chinese-llm-models,0xjordansg-yolo/openclaw-aisa-chinese-llm-models
3,Web Search Tavily,0xjordansg-yolo,Skill,,Performs AI-optimized web searches via Tavily API,1200,0,https://clawhub.ai/0xjordansg-yolo/ai-native-websearch-via-tavily-api-returns-concise-relevant-results-for-openclaw,0xjordansg-yolo/ai-native-websearch-via-tavily-api-returns-concise-relevant-results-for-openclaw
4,US Stock Analyst by leading AI LLM models with Bloomberg Data,0xjordansg-yolo,Skill,,"Professional US stock analysis with financial data, news, social sentiment, and multi-model AI",1300,0,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-us-stock-analyst,0xjordansg-yolo/openclaw-aisa-us-stock-analyst
5,Query real-time and historical financial data across equities and crypto prices,0xjordansg-yolo,Skill,,Query real-time and historical financial data across equities and crypto,1500,5,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-finance-stock-equity-crypto-market-price-data-yahoo-finance-coinhacko,0xjordansg-yolo/openclaw-aisa-finance-stock-equity-crypto-market-price-data-yahoo-finance-coinhacko
6,"Multi-source retrieval with confidence scoring - web, academic, and Tavily in one unified API",0xjordansg-yolo,Skill,,Intelligent search for agents. Multi-source retrieval with confidence scoring,1200,4,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-search-website-academic-tavily-serp-exa,0xjordansg-yolo/openclaw-aisa-search-website-academic-tavily-serp-exa
7,YouTube SERP Scout for agents,0xjordansg-yolo,Skill,,"YouTube SERP Scout for agents. Search top-ranking videos, channels, and trends",1500,3,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-youtube-search-serp-video-channels-trends-content-tracking,0xjordansg-yolo/openclaw-aisa-youtube-search-serp-video-channels-trends-content-tracking
8,Generate images & videos with: Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video) via one API key,0xjordansg-yolo,Skill,,Generate images & videos with AIsa. Gemini 3 Pro Image (image) + Qwen Wan 2.6 (video),2200,11,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-image-video-models-wan2-6-gemini-3-pro-image-nano-banana,0xjordansg-yolo/openclaw-aisa-image-video-models-wan2-6-gemini-3-pro-image-nano-banana
9,One API key for real time stock equity pricing data including crypto BTC ETH etc,0xjordansg-yolo,Skill,,Query real-time and historical financial data across equities and crypto,1300,1,https://clawhub.ai/0xjordansg-yolo/openclaw-aisa-financial-stock-crypto-market-price-data,0xjordansg-yolo/openclaw-aisa-financial-stock-crypto-market-price-data
10,"Save upto 50% for model tokens: OpenAI GPT, Claude, Gemini, Qwen, Deepseek, Grok and more with one single key",0xjordansg-yolo,Skill,,Unified LLM Gateway - One API for 70+ AI models,1300,5,https://clawhub.ai/0xjordansg-yolo/llm-gateway,
